Data,Tipo de Campanha,Tipo de Anúncio,Valor Gasto,Alcance,Impressões,Cliques,Leads,Vendas,Valor de Venda,AnoMes
2024-01-01,Email Marketing,Automação de E-mails,17.89,147,269,16,7,0,0.0,2024-01
2024-01-02,Mídia,Anúncios em Vídeo,42.29,596,705,9,2,0,0.0,2024-01
2024-01-03,Mídia,Anúncios em Vídeo,14.62,88,110,3,1,3,436.73,2024-01
2024-01-04,Mídia,Anúncios em Vídeo,33.25,424,467,7,1,0,0.0,2024-01
2024-01-05,Geração de Leads,E-books,12.92,66,111,4,0,0,0.0,2024-01
2024-01-06,Email Marketing,Segmentação de Listas,36.38,468,507,11,3,0,0.0,2024-01
2024-01-07,Mídia,Anúncios em Vídeo,14.89,225,257,4,1,0,0.0,2024-01
2024-01-08,Mídia,Anúncios Display,49.66,594,630,20,4,4,296.96,2024-01
2024-01-09,Engajamento,Redes Sociais,49.69,812,1235,15,7,1,7.44,2024-01
2024-01-10,CRO,Testes A/B,14.42,263,519,18,4,0,0.0,2024-01
2024-01-11,Mídia,Anúncios Display,32.85,634,1251,41,4,0,0.0,2024-01
2024-01-12,Mídia,Anúncios em Áudio,29.07,272,456,9,1,0,0.0,2024-01
2024-01-13,CRO,Otimização de Landing Pages,46.66,323,609,10,2,0,0.0,2024-01
2024-01-14,Mídia,Anúncios em Áudio,13.72,126,165,7,2,4,163.0,2024-01
2024-01-15,Email Marketing,Segmentação de Listas,41.56,313,413,11,4,0,0.0,2024-01
2024-01-16,Mídia,Anúncios Display,21.62,419,485,13,5,0,0.0,2024-01
2024-01-17,Mídia,Anúncios em Vídeo,31.44,580,803,17,6,0,0.0,2024-01
2024-01-18,Email Marketing,Automação de E-mails,12.97,130,213,10,2,0,0.0,2024-01
2024-01-19,Geração de Leads,Webinars,21.86,350,689,35,14,3,37.06,2024-01
2024-01-20,Email Marketing,Automação de E-mails,32.05,416,559,26,7,0,0.0,2024-01
2024-01-21,Geração de Leads,Estudos de Caso,33.23,623,732,22,4,0,0.0,2024-01
2024-01-22,SEO,Conteúdo Evergreen,11.36,189,376,8,2,0,0.0,2024-01
2024-01-23,CRO,Pop-ups,10.24,130,160,8,3,1,48.57,2024-01
2024-01-24,Mídia,Anúncios Display,15.17,298,441,14,3,2,98.25,2024-01
2024-01-25,Mídia,Anúncios Display,46.74,582,1032,35,4,1,53.47,2024-01
2024-01-26,SEO,Otimização de Palavras-chave,13.29,193,270,10,3,4,68.33,2024-01
2024-01-27,Geração de Leads,Estudos de Caso,44.92,613,1016,43,9,4,106.75,2024-01
2024-01-28,Email Marketing,Segmentação de Listas,41.93,251,282,12,1,0,0.0,2024-01
2024-01-29,SEO,Otimização de Palavras-chave,34.54,468,926,28,9,0,0.0,2024-01
2024-01-30,Geração de Leads,Estudos de Caso,35.85,607,870,46,6,0,0.0,2024-01
2024-01-31,Mídia,Anúncios em Vídeo,30.34,577,872,13,4,0,0.0,2024-01
2024-02-01,SEO,Link Building,21.39,332,512,25,11,4,27.46,2024-02
2024-02-02,Email Marketing,Boletins Informativos,33.49,668,1245,16,6,3,146.64,2024-02
2024-02-03,Mídia,Anúncios em Áudio,21.4,211,366,8,2,0,0.0,2024-02
2024-02-04,Email Marketing,Boletins Informativos,19.31,194,281,11,3,5,382.76,2024-02
2024-02-05,Geração de Leads,E-books,37.57,497,924,30,4,1,23.31,2024-02
2024-02-06,Mídia,Anúncios em Áudio,24.32,473,708,35,10,3,45.66,2024-02
2024-02-07,SEO,Link Building,25.17,377,439,7,3,0,0.0,2024-02
2024-02-08,Mídia,Anúncios em Vídeo,25.49,241,298,3,1,1,144.29,2024-02
2024-02-09,Email Marketing,Automação de E-mails,46.1,623,838,35,10,6,118.55,2024-02
2024-02-10,Geração de Leads,Webinars,27.58,507,777,21,9,0,0.0,2024-02
2024-02-11,Email Marketing,Segmentação de Listas,27.8,238,379,10,3,0,0.0,2024-02
2024-02-12,CRO,Testes A/B,36.82,732,1124,35,10,2,24.84,2024-02
2024-02-13,Upsell,Ofertas de Upgrade,22.32,380,521,13,2,0,0.0,2024-02
2024-02-14,Upsell,Cross-selling,41.59,454,897,29,6,3,137.26,2024-02
2024-02-15,Geração de Leads,E-books,26.12,400,416,18,6,0,0.0,2024-02
2024-02-16,Mídia,Anúncios Display,48.87,961,1197,14,2,1,53.85,2024-02
2024-02-17,Mídia,Anúncios Display,28.17,266,529,8,2,0,0.0,2024-02
2024-02-18,Mídia,Anúncios em Vídeo,32.66,476,593,24,5,4,207.77,2024-02
2024-02-19,Mídia,Anúncios em Vídeo,11.44,60,92,2,0,0,0.0,2024-02
2024-02-20,Email Marketing,Boletins Informativos,48.75,446,640,11,3,1,65.63,2024-02
2024-02-21,Engajamento,Fóruns,18.2,103,196,6,1,2,419.97,2024-02
2024-02-22,Engajamento,Fóruns,12.5,144,184,7,1,0,0.0,2024-02
2024-02-23,CRO,Otimização de Landing Pages,24.65,208,293,9,3,0,0.0,2024-02
2024-02-24,Mídia,Anúncios Display,34.03,679,1186,33,7,4,36.39,2024-02
2024-02-25,SEO,Conteúdo Evergreen,49.39,767,815,10,3,4,389.02,2024-02
2024-02-26,Engajamento,Redes Sociais,19.78,149,174,5,1,0,0.0,2024-02
2024-02-27,Email Marketing,Automação de E-mails,21.9,110,142,5,1,2,349.59,2024-02
2024-02-28,Mídia,Anúncios em Áudio,32.88,570,666,8,2,0,0.0,2024-02
2024-02-29,Email Marketing,Boletins Informativos,30.18,464,809,34,8,0,0.0,2024-02
2024-03-01,SEO,Otimização de Palavras-chave,49.09,688,883,31,12,0,0.0,2024-03
2024-03-02,Upsell,Cross-selling,27.61,359,593,15,2,4,111.75,2024-03
2024-03-03,SEO,Otimização de Palavras-chave,19.58,170,320,6,2,0,0.0,2024-03
2024-03-04,Email Marketing,Boletins Informativos,36.46,544,782,17,2,2,146.88,2024-03
2024-03-05,Upsell,Cross-selling,39.68,529,939,49,9,0,0.0,2024-03
2024-03-06,Mídia,Anúncios em Áudio,47.2,423,678,25,7,0,0.0,2024-03
